"company","activities","poultry_processing","meat_processing"
"Evans Food Group","Meat Processing",NULL,True
"Hillsdale County Meats","Meat Processing, Meat Slaughter",NULL,True
"Fillmore Beef Co.","Meat Processing, Meat Slaughter",NULL,True
"Milton Chili Co.","Meat Processing",NULL,True
"Weltin Meat Packing Inc.","Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Processing - Rabbit, Voluntary Slaughter - Exotic, Voluntary Slau",NULL,True
"Northside Noodle Co","Meat Processing",NULL,True
"A. Gemmen & Sons, Inc.","Meat Processing",NULL,True
"Berghorst Farms","Meat Processing",NULL,True
"El Acapulco Tamales LLC","Meat Processing",NULL,True
"Kenosha Beef International, In","Meat Processing",NULL,True
"KLP Specialty Food","Meat Processing",NULL,True
"Bernthal Packing Inc.","Meat Processing, Meat Slaughter",NULL,True
"Dave's Sausage Factory, Inc.","Meat Processing",NULL,True
"DeVries Meats","Meat Processing, Meat Slaughter",NULL,True
"Berry & Sons Rababeh Isl Slau","Meat Processing, Meat Slaughter",NULL,True
"Kern's Sausages Inc.","Meat Processing",NULL,True
"Jos. Sanders, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Balkan Meat Market","Meat Processing",NULL,True
"Carl Buddig and Co","Meat Processing, Poultry Processing",True,True
"MSM Meats & Country Store","Meat Processing, Meat Slaughter",NULL,True
"Rudolph Foods Company, Inc.","Certification - Export, Meat Processing",NULL,True
"Arkansas Department of Corrections","Meat Processing, Meat Slaughter",NULL,True
"Hawaii Beef Producers, LLC","Meat Processing, Meat Slaughter",NULL,True
"L&M Enterprises, Inc.","Meat Processing",NULL,True
"Cuba Processing Plant, LLC","Meat Processing, Meat Slaughter",NULL,True
"Select Meats, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Al's Hickory House BBQ","Meat Processing",NULL,True
"Allen Brothers, Inc","Meat Processing, Voluntary Processing - Meat",NULL,True
"Manger Packing Corp.","Meat Processing",NULL,True
"Hemps, Inc.","Meat Processing, Meat Slaughter",NULL,True
"Shriver Meats","Meat Processing, Meat Slaughter",NULL,True
"Hamzah Slaughter House, LLC","Meat Processing, Meat Slaughter",NULL,True
"Ostrowski's of Bank St.","Meat Processing",NULL,True
"Impero Foods & Meats, Inc.","Meat Processing",NULL,True
"Brown Packing Co., Inc.","Meat Processing, Meat Slaughter",NULL,True
"Gem Meat Packing","Meat Processing, Voluntary Processing - Meat",NULL,True
"Butcher Block Meat Co.","Meat Processing",NULL,True
"Rammell Valley Pack","Meat Processing, Meat Slaughter, Voluntary Processing - Poultry, Voluntary Slaughter - Poultry",NULL,True
"Wayguud Custom Meat LLC","Meat Processing, Meat Slaughter",NULL,True
"University of Idaho Meats Lab","Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Meat, Voluntary Slaughter - Poultry",NULL,True
"Mickelsen Pack","Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Meat, Voluntary Slaughter - Poultry",NULL,True
"Doug's Wholesale Meats","Meat Processing",NULL,True
"Limestone Meathouse","Meat Processing",NULL,True
